,0
10,0.027861591451608155
20,0.0064956571940865205
30,0.0023306086329378793
40,0.0010564694956626112
50,0.0006267576021224213
60,0.00039605150499926855
70,0.0003305407462855952
80,0.00022636242466301948
90,0.0002512301270019501
100,0.000187744397060108
110,0.00014801739698298892
120,0.00011968960483459513
130,9.696063862666353e-05
140,8.23758376344999e-05
150,7.192560284119417e-05
160,6.058703340373153e-05
170,5.3477335833611256e-05
180,4.82882362813015e-05
190,4.1790643632925445e-05
200,4.305861755314852e-05
210,3.775820848325788e-05
220,3.325582271948934e-05
230,3.076800643142182e-05
240,2.745620270904782e-05
250,3.353514903995171e-05
260,3.0395105257725865e-05
270,2.780963751473288e-05
280,2.7459162100507495e-05
290,2.5877072185836535e-05
300,2.365630027054822e-05
310,2.1666955702218294e-05
320,1.9960343830505807e-05
330,1.979863824703981e-05
340,1.8322931745359905e-05
350,1.70562151015527e-05
360,1.6634738205293694e-05
370,1.5451108532724537e-05
380,1.4529547864496414e-05
390,1.3920314793855624e-05
400,1.579255023442712e-05
410,1.5107987781114996e-05
420,1.416178729717386e-05
430,1.3339144060319455e-05
440,1.2602984165329246e-05
450,1.1843038823121321e-05
460,1.1153153765473756e-05
470,1.0576739580882295e-05
480,9.990732099695515e-06
490,9.479030536489487e-06
500,9.018529588524947e-06
510,8.578917425984194e-06
520,8.25732326712245e-06
530,7.833361035382137e-06
540,7.532418226360353e-06
550,7.2354632432154684e-06
560,6.8848114291794265e-06
570,6.702902093753734e-06
580,6.400108435980773e-06
590,6.182128157441372e-06
600,5.917155311255078e-06
610,5.7629679588482516e-06
620,5.572879270800912e-06
630,5.339775986511456e-06
640,5.24494996062297e-06
650,5.083101941455509e-06
660,4.873249691003047e-06
670,4.6888162501082984e-06
680,4.6101880258088246e-06
690,4.4321583940619394e-06
700,4.318425162576255e-06
710,4.257837620576845e-06
720,4.097976393549969e-06
730,3.949994752403524e-06
740,3.873383276747741e-06
750,3.7337862488099823e-06
760,3.660236572885934e-06
770,3.5310167258038272e-06
780,3.435885565135511e-06
790,3.3846592975451885e-06
800,3.324140843980801e-06
810,3.23987806292179e-06
820,3.1321295887284795e-06
830,3.1349507841991013e-06
840,3.1333078849108157e-06
850,3.1041692422281317e-06
860,3.021088281040146e-06
870,2.959705035131044e-06
880,2.943530230502554e-06
890,2.8565562723191303e-06
900,2.7698231288250675e-06
910,2.6865862963317346e-06
920,2.6138531450953567e-06
930,2.55784729756898e-06
940,2.502169773311407e-06
950,2.438138909646162e-06
960,2.3662423644047317e-06
970,2.2997533988378504e-06
980,2.3544812149196113e-06
990,2.2918372952778633e-06
1000,2.2300240546112444e-06
1010,2.1701978329019395e-06
1020,2.119641801149711e-06
1030,2.0624160070770733e-06
1040,2.017639541173605e-06
1050,2.0281162805534982e-06
1060,2.005652467195218e-06
1070,1.9632561093402864e-06
1080,1.9962255106575157e-06
1090,1.9469783728589465e-06
1100,1.8984956598208145e-06
1110,1.8573590524382634e-06
1120,1.8120209675191705e-06
1130,1.782723211076442e-06
1140,1.8386587093880411e-06
1150,1.7942058700975928e-06
1160,1.7507790750664074e-06
1170,1.721158746909661e-06
1180,1.6842680313074525e-06
1190,1.646471586590332e-06
1200,1.6411933431835683e-06
1210,1.6048316718654905e-06
1220,1.5694740499562714e-06
1230,1.5475784236296555e-06
1240,1.5170928066650386e-06
1250,1.4831674135343403e-06
1260,1.4549387039952173e-06
1270,1.4280080166810138e-06
1280,1.398727062311112e-06
1290,1.3694482390730756e-06
1300,1.3408876742266376e-06
1310,1.314018164671553e-06
1320,1.2878215313292932e-06
1330,1.2725407443821678e-06
1340,1.245993103771487e-06
1350,1.2207487333072956e-06
1360,1.1973346505414782e-06
1370,1.1820138691318181e-06
1380,1.1598738051111827e-06
1390,1.159480759970446e-06
1400,1.1500799388761589e-06
1410,1.1451220191710793e-06
1420,1.1331994898493495e-06
1430,1.1185603640295716e-06
1440,1.1211807920680135e-06
1450,1.0998777463968351e-06
1460,1.094030765257682e-06
1470,1.0740632444669516e-06
1480,1.0570645557221962e-06
1490,1.0396973991488505e-06
1500,1.0311825036729026e-06
1510,1.0384433667993563e-06
1520,1.019791926524597e-06
1530,1.001308510508742e-06
1540,9.838602461360572e-07
1550,9.695123214592463e-07
