,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,y
0,0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,0.0849609375,0.2548828125,0.1611328125,0.3837890625,0.1435546875,0.3701171875,0.7197265625,0.3447265625,0.9912109375,0.7255859375,0.5224609375,0.18414698628122508
1,0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,0.5849609375,0.7548828125,0.6611328125,0.8837890625,0.6435546875,0.8701171875,0.2197265625,0.8447265625,0.4912109375,0.2255859375,0.0224609375,0.34874555018995385
2,0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,0.8349609375,0.5048828125,0.4111328125,0.1337890625,0.8935546875,0.1201171875,0.4697265625,0.0947265625,0.2412109375,0.9755859375,0.7724609375,1.8280787776158185
3,0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,0.3349609375,0.0048828125,0.9111328125,0.6337890625,0.3935546875,0.6201171875,0.9697265625,0.5947265625,0.7412109375,0.4755859375,0.2724609375,0.05227318890886355
4,0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,0.9599609375,0.1298828125,0.2861328125,0.7587890625,0.2685546875,0.7451171875,0.8447265625,0.7197265625,0.1162109375,0.6005859375,0.6474609375,0.09704625793592123
5,0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,0.4599609375,0.6298828125,0.7861328125,0.2587890625,0.7685546875,0.2451171875,0.3447265625,0.2197265625,0.6162109375,0.1005859375,0.1474609375,1.1899803124559778
6,0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,0.2099609375,0.8798828125,0.0361328125,0.5087890625,0.5185546875,0.9951171875,0.0947265625,0.9697265625,0.8662109375,0.8505859375,0.8974609375,0.4187560195796446
7,0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,0.7099609375,0.3798828125,0.5361328125,0.0087890625,0.0185546875,0.4951171875,0.5947265625,0.4697265625,0.3662109375,0.3505859375,0.3974609375,0.3696891324433486
8,0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,0.7412109375,0.2236328125,0.4423828125,0.2275390625,0.6748046875,0.6513671875,0.6259765625,0.0634765625,0.7724609375,0.8818359375,0.0537109375,1.0164388204461938
9,0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,0.2412109375,0.7236328125,0.9423828125,0.7275390625,0.1748046875,0.1513671875,0.1259765625,0.5634765625,0.2724609375,0.3818359375,0.5537109375,0.0515560947623296
10,0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,0.4912109375,0.9736328125,0.1923828125,0.4775390625,0.4248046875,0.9013671875,0.3759765625,0.3134765625,0.0224609375,0.6318359375,0.3037109375,0.13163652973556875
11,0.3134765625,0.9404296875,0.7998046875,0.7080078125,0.8740234375,0.0009765625,0.2021484375,0.5556640625,0.2822265625,0.1630859375,0.9912109375,0.4736328125,0.6923828125,0.9775390625,0.9248046875,0.4013671875,0.8759765625,0.8134765625,0.5224609375,0.1318359375,0.8037109375,2.0853490033707094
